MarkersValid,TrolleyPos,Hoistpos,NoOfMarkers,m1,m2,m3,m4,m5,m6
True,30.524,12.439,3,"(67151,62561)","(67518,65665)","(66984,68671)","(67036,68669)","(114917,77616)","(67107,68668)"
True,30.633,12.235,4,"(126054,20977)","(66604,62601)","(66960,65689)","(66440,68686)","(66521,68673)","(66753,68676)"
True,30.715,12.006,3,"(66237,62662)","(66583,65736)","(66073,68711)","(66595,65734)","(66085,68709)","(66101,68714)"
True,30.715,12.006,3,"(66237,62662)","(66583,65736)","(66073,68711)","(66595,65734)","(66085,68709)","(66101,68714)"
True,30.77,11.811,3,"(65946,62688)","(66291,65747)","(65780,68711)","(65799,68710)","(66324,65740)","(65812,68708)"
True,30.77,11.811,3,"(65946,62688)","(66291,65747)","(65780,68711)","(65799,68710)","(66324,65740)","(65812,68708)"
True,30.789,11.617,3,"(65775,62751)","(66116,65802)","(65611,68751)","(65640,68756)","(65673,68750)","(115757,65745)"
True,30.789,11.617,3,"(65775,62751)","(66116,65802)","(65611,68751)","(65640,68756)","(65673,68750)","(115757,65745)"
True,30.789,11.617,3,"(65775,62751)","(66116,65802)","(65611,68751)","(65640,68756)","(65673,68750)","(115757,65745)"
True,30.835,11.457,4,"(127799,21323)","(65495,62762)","(65827,65800)","(65332,68742)","(65910,65774)","(65412,68720)"
True,30.891,11.31,5,"(121820,7851)","(129234,29848)","(65094,62760)","(65430,65788)","(64929,68718)","(65551,65795)"
True,30.891,11.31,5,"(121820,7851)","(129234,29848)","(65094,62760)","(65430,65788)","(64929,68718)","(65551,65795)"
True,30.943,11.167,3,"(64496,62758)","(64815,65775)","(64333,68698)","(129802,11017)","(64522,62762)","(64843,65779)"
True,30.903,11.017,3,"(64757,62767)","(65089,65775)","(64594,68688)","(64570,68686)","(64546,68687)","(64317,68681)"
True,30.903,11.017,3,"(64757,62767)","(65089,65775)","(64594,68688)","(64570,68686)","(64546,68687)","(64317,68681)"
True,30.806,10.871,5,"(128952,9936)","(65309,62753)","(113285,64958)","(65642,65751)","(65147,68655)","(65440,65768)"
True,30.734,10.727,4,"(125038,16352)","(65612,62722)","(65940,65710)","(65422,68604)","(65934,65716)","(65421,68613)"
True,30.734,10.727,4,"(125038,16352)","(65612,62722)","(65940,65710)","(65422,68604)","(65934,65716)","(65421,68613)"
True,30.732,10.585,4,"(127564,10624)","(65437,62691)","(65743,65677)","(65217,68554)","(65233,68558)","(65421,68601)"
True,30.732,10.585,4,"(127564,10624)","(65437,62691)","(65743,65677)","(65217,68554)","(65233,68558)","(65421,68601)"
True,30.774,10.441,4,"(124058,10131)","(64841,62573)","(65150,65549)","(64646,68419)","(64691,68437)","(64805,68478)"
True,30.774,10.441,4,"(124058,10131)","(64841,62573)","(65150,65549)","(64646,68419)","(64691,68437)","(64805,68478)"
True,30.856,10.397,4,"(64013,62346)","(64337,65321)","(63823,68186)","(120304,81026)","(63918,68233)","(64437,68341)"
True,30.879,10.397,3,"(63355,62147)","(63650,65108)","(63185,67992)","(63656,65090)","(63188,67977)","(63209,67960)"
True,30.879,10.397,3,"(63355,62147)","(63650,65108)","(63185,67992)","(63656,65090)","(63188,67977)","(63209,67960)"
True,30.847,10.397,3,"(63420,62329)","(63755,65294)","(63294,68170)","(63286,68165)","(63278,68160)","(63247,68145)"
True,30.794,10.397,4,"(121051,34360)","(63497,62443)","(63850,65403)","(63415,68287)","(63345,68248)","(63296,68177)"
True,30.794,10.397,4,"(121051,34360)","(63497,62443)","(63850,65403)","(63415,68287)","(63345,68248)","(63296,68177)"
True,30.733,10.397,3,"(63798,62595)","(64168,65559)","(63745,68441)","(64152,65552)","(63733,68433)","(63439,68302)"
True,30.686,10.397,3,"(64117,62773)","(64514,65733)","(64090,68616)","(64116,62772)","(64514,65735)","(64091,68616)"
True,30.686,10.397,3,"(64117,62773)","(64514,65733)","(64090,68616)","(64116,62772)","(64514,65735)","(64091,68616)"
True,30.686,10.397,3,"(64117,62773)","(64514,65733)","(64090,68616)","(64116,62772)","(64514,65735)","(64091,68616)"
True,30.701,10.397,4,"(126955,13597)","(63858,62835)","(64239,65799)","(63844,68680)","(63933,68678)","(64091,68616)"
True,30.7,10.397,4,"(128515,19155)","(63979,62818)","(64383,65780)","(63968,68664)","(64311,65773)","(63903,68657)"
True,30.7,10.397,4,"(128515,19155)","(63979,62818)","(64383,65780)","(63968,68664)","(64311,65773)","(63903,68657)"
True,30.7,10.397,4,"(128515,19155)","(63979,62818)","(64383,65780)","(63968,68664)","(64311,65773)","(63903,68657)"
True,30.681,10.397,4,"(121553,26046)","(64152,62765)","(64548,65724)","(64139,68610)","(64131,68608)","(64498,65722)"
True,30.667,10.397,3,"(64286,62780)","(64666,65745)","(64257,68623)","(64654,65747)","(64247,68626)","(64170,68610)"
True,30.667,10.397,3,"(64286,62780)","(64666,65745)","(64257,68623)","(64654,65747)","(64247,68626)","(64170,68610)"
True,30.667,10.397,3,"(64286,62780)","(64666,65745)","(64257,68623)","(64654,65747)","(64247,68626)","(64170,68610)"
True,30.663,10.397,4,"(128165,10733)","(64581,62690)","(64973,65647)","(64523,68536)","(64458,68536)","(64170,68610)"
True,30.661,10.397,3,"(64584,62695)","(64929,65661)","(64500,68537)","(64922,65661)","(64494,68538)","(64525,68547)"
True,30.661,10.397,3,"(64584,62695)","(64929,65661)","(64500,68537)","(64922,65661)","(64494,68538)","(64525,68547)"
True,30.665,10.397,4,"(127377,34738)","(64867,62605)","(65226,65568)","(64747,68450)","(64729,68460)","(117204,80423)"
True,30.72,10.397,4,"(121120,38475)","(64566,62589)","(64890,65556)","(64417,68431)","(64485,68445)","(64597,68457)"
True,30.72,10.397,4,"(121120,38475)","(64566,62589)","(64890,65556)","(64417,68431)","(64485,68445)","(64597,68457)"
